,headline,is_sarcastic
981,beyond the bounds of conservation,0
982,18 habits of highly creative people,0
983,"$80,000 wedding beautiful",1
984,islamic fundamentalists condemn casual day,1
985,white house denied third mortgage,1
986,cheney regrets buying bush laser pointer,1
987,bp ready to resume oil spilling,1
988,enormous man spends another day indoors,1
989,david spade just shot,1
990,viewer outraged,1
991,the internet of you,0
992,budget talks dreadlocked,1
993,bye bye,0
994,area panties in a bunch,1
995,suri cruise somehow already 11,1
996,worst person woman knows pregnant,1
997,the mediterranean refugee crisis,0
998,drunk driver in the zone,1
999,ape appointed banana czar,1
